,index,text
104,1.忌食辛辣、生冷、油腻食物。,13
105,"口服,一次3粒,一日3次。",13
106,呼吸道疾病,13
107,"2.气血两虚引起的月经量少,色淡质稀,伴有头晕心悸,疲乏无力等不宜选用本药。",13
108,"7.服药1个月症状无缓解,应去医院就诊。",13
109,本品为黑褐色至黑色的水蜜丸;,13
110,"口服,一次1丸,一日2次。",13
111,"一次4粒,一日3次。",13
112,"一次6克,一日2次。",13
113,9、本品性状发生改变时禁止使用。,13
114,"益母草有行气活血,加强子宫收缩作用。",12
115,"口服,一次4片,一日3次。",12
116,"5.服药后痛经不减轻,或重度痛经者,应到医院诊治。",12
117,"国家基本药物目录,中药保护品种二级",12
118,请遵医嘱。,12
119,"非处方药物(甲类),国家医保目录(甲类),国家基本药物目录",12
120,"一次3粒,一日3次。",12
121,10.儿童必须在成人监护下使用。,12
122,6.外阴白色病变、糖尿病所致的瘙痒不宜使用。,12
123,"一次1丸,一日2次。",12
124,目前尚未检索到本品的不良反应。,12
125,月经量多者不宜服用。,12
126,"实验证明对金黄色葡萄球菌,溶血性链球菌和皮肤真菌有抑制作用。",12
127,味甘、微苦。,12
128,"如正在服用其他药品,使用本品前请咨询医师或药师。",12
129,3.有高血压、心脏病、肾病、糖尿病或正在接受其他治疗的患者均应在医师指导下服用。,12
130,丸剂(浓缩丸),12
131,川芎、鸡血藤有活血瘀作用。,12
132,带下伴阴痒或有赤带者应去医院就诊。,11
133,8.请将此药品放在儿童不能接触的地方。,11
134,"气香,味微苦。",11
135,"6.伴有赤带者,应去医院就诊。",11
136,"口服,一次4粒,一日3次。",11
137,6g10袋,11
138,8.药品性状发生改变时禁止服用。,11
139,7.药品性状发生改变时禁止服用。,11
140,"在服用本品期间,如果感到不适,要尽快告诉医师或药师。",11
141,味甜。,11
142,10、请将本品放在儿童不能接触的地方。,11
143,"一次6片,一日3次。",11
144,密封。,11
145,"养血,调经,止痛。",11
146,"6.按照用法用量服用,长期服用应向医师咨询。",11
147,"车前草,赤勺有活血通瘀去湿作用,狗脊有补益肝肾,强腰膝,除风湿,利关节的作用。",11
148,"气香,味苦。",11
149,陕西东泰制药有限公司,11
150,1.经期忌生冷饮食、不宜洗凉水澡。,11
151,4.月经过多者不宜服用本药。,10
152,方中忍冬藤、蒲公英有清热解毒作用。,10
153,皮肤破溃处禁用。,10
154,"冲洗药液后,子宫活动仍可恢复到正常状态。",10
155,"1.本品为外用药,禁止内服。",10
156,"伴有赤带者,应去医院就诊。",10
157,粒单细胞、红系祖细胞的产率均有明显升高作用。,10
158,"一次4片,一日3次。",10
159,"新生化颗粒同时还能抑制补体与红细胞膜结合,降低补体溶血功能。",10
160,"7.服药二周症状无改善,应去医院就诊。",10
161,"11.如正在服用其他药品,使用本品前请咨询医师或药师。",10
162,"清热燥湿,杀虫止痒。",10
163,"孕妇忌服,儿童禁用。",10
164,3.感冒时不宜服用本药。,10
165,"5.平素月经正常,突然出现月经量少,或月经错后,或阴道不规则出血应去医院就诊。",10
166,"气微香,味微苦。",10
167,"对造血干细胞增值有显著的刺激作用,并能促进红系细胞分化。",10
168,6g12袋,10
169,3.抗血小板凝聚及抗血栓作用:新生化颗粒能抑制血小板聚集促进剂产生。,10
170,"实验室研究表明,新生化颗粒能明显增加大鼠离体子宫的收缩张力、收缩频率和收缩振幅,且呈剂量依赖性关系。",10
171,7.请将本品放在儿童不能接触的地方。,9
172,1、忌食辛辣、生冷、油腻食物。,9
173,"2.镇痛:实验室研究表明,新生化颗粒能明显减少大鼠扭体次数。",9
174,3.切勿接触眼睛、口腔等黏膜处。,9
175,气芳香。,9
176,"味甜,微苦。",9
177,"国家医保目录(乙类),中药保护品种二级",9
178,"5.改善微循环:增加子宫毛细血管流量,促进子宫修复。",9
179,24个月。,9
180,"6.各种流产后腹痛伴有阴道出血,服药一周无效者应去医院就诊。",9
181,"6.服药2周症状无缓解,应去医院就诊。",9
182,"9.如正在服用其他药品,使用本品前请咨询医师或药师。",9
183,每支装10ml,9
184,陕西康惠制药股份有限公司,9
185,4.造血和抗贫血作用:新生化颗粒能促进血红蛋白和红细胞的生成。,9
186,4.高血压、心脏病、肝病、肾病等慢性病患者应在医师指导下服用。,9
187,5.本品宜饭前服用。,9
188,9.药品性状发生改变时禁止服用。,9
189,"8.如正在使用其他药品,使用本品前请咨询医师或药师。",9
190,10.请将此药品放在儿童不能接触的地方。,9
191,3.经行有块伴腹痛拒按或胸胁胀痛者不宜选用。,9
192,补肾壮阳。,9
193,每袋装15g,9
194,从而使瘀血不易凝固而利于排出。,9
195,"口服,一次6克,一日2次。",9
196,或将药丸加适量开水溶后服。,9
197,丸剂(水丸),9
198,"血液流变学表明,新生化颗粒通过降低血浆纤维蛋白原浓度,增加血小板细胞表面电荷,促进细胞解聚,降低血液粘度,达到抗血栓形成的作用。",9
199,6.药品性状发生改变时禁止服用。,9
200,12袋盒。,9
201,"7.带下伴血性分泌物,或伴有尿频、尿急、尿痛者,应去医院就诊。",8
202,"4.治疗期间忌房事,配偶如有感染应同时治疗。",8
203,2、感冒发热病人不宜服用。,8
204,"1.收缩子宫:新生化颗粒使DNA含量和子宫利用葡萄糖能力增加,促进子宫蛋白质合成及子宫增生,以促进子宫收缩,从而起到止血并排出瘀血的目的。",8
205,本品为棕褐色的水蜜丸;,8
206,用于血虚气滞、下焦虚寒所致的月经不调、痛经,8
207,"清热解毒,消肿散结。",8
208,"体外试验表明,新生化颗粒对痢疾杆菌、大肠杆菌、绿脓杆菌、变形杆菌和金黄色葡萄球菌均有很好的抑菌作用。",8
209,"一次46片,一日3次。",8
210,"口服,一次6g,一日2次。",8
211,儿童禁用。,8
212,2、感冒时不宜服用。,8
213,3、有高血压、心脏病、肝病、糖尿病、肾病等慢性病严重者应在医师指导下服用。,8
214,长春海外制药集团有限公司,8
215,味苦、辛。,8
216,活血、祛瘀、止痛。,8
217,北京同仁堂科技发展股份有限公司制药厂,8
218,"5.未婚或绝经后患者,应在医师指导下使用。",8
219,"本品为薄膜衣片,除去包衣后显棕色至棕褐色;",8
220,"理气,活血,止痛。",8
221,外用。,8
222,"一次9克,一日2次。",8
223,孕妇及哺乳期妇女禁用。,8
224,6.抗炎:新生化颗粒有很好的抗炎抑菌作用。,8
225,"开水冲服,一次1袋,一日2次。",8
226,2.本品宜饭前服用。,7
227,"补气血,调经。",7
228,西安碑林药业股份有限公司,7
229,9g10丸,7
230,云南白药集团股份有限公司,7
231,"7、对本品过敏者禁用,过敏体质者慎用;",7
232,1、忌食辛辣、生冷食物。,7
233,本品为黄棕色至黄褐色的颗粒;,7
234,2.有高血压、心脏病、肝病、糖尿病、肾病等慢性病严重者应在医师指导下服用。,7
235,0.4g36粒盒,7
236,7.请将此药品放在儿童不能接触的地方。,7
237,9.请将此药品放在儿童不能接触的地方。,7
238,"4.重度痛经者或服药后痛经不减轻,应去医院就诊。",7
239,15g10袋,7
240,1.忌食辛辣、少进油腻。,7
241,2.感冒时不宜服用本药。,7
242,3.带下清稀者不宜选用。,7
243,1.孕妇慎用。,7
244,"13.如正在使用其他药品,使用本品前请咨询医师或药师。",7
245,本品不宜长期服用。,7
246,"非处方药物(甲类),外用药物",7
247,"气微香,味苦。",7
248,2.孕妇慎用。,7
249,"一次15克,一日2次。",7
250,儿童、孕妇禁用;,7
251,"7、对本品过敏者禁用,过敏体质者慎用。",7
252,"10.如正在服用其他药品,使用本品前请咨询医师或药师。",7
253,"气微,味甘而后苦、辛。",7
254,注意保暧。,7
255,山西华康药业股份有限公司,7
256,"2.凡脾胃虚弱,呕吐泄泻,腹胀便溏、咳嗽痰多者慎用。",7
257,6.有生育要求(未避孕)宜经行当日起服用至痛经缓解。,7
258,山东东阿阿胶股份有限公司,7
259,7.儿童必须在成人监护下使用。,7
260,"益气养血,理气活血,止痛。",7
261,"如与其他药物同时使用可能会发生药物相互作用,详情其咨询医师或药师。",7
262,3.感冒病人不宜服用。,7
263,"口服,一次5片,一日3次。",7
264,"片剂(糖衣,薄膜衣)",7
265,"4.痛经伴月经失调或伴有其他疾病者,应在医师指导下服用。",7
266,"气芳香,味微苦。",7
267,"一次1袋,一日3次。",7
268,4.孕妇慎用。,6
269,"8、对本品过敏者禁用,过敏体质者慎用;",6
270,"活血,化瘀,消癥。",6
271,"一次9克,一日1次;",6
272,60个月。,6
273,"7.服药二周或服药期间症状无改善,或症状加重,或出现新的严重症状,应立即停药并去医院就诊。",6
274,"4.故临床主要用于治疗妇女月经不调,痛经,宫寒不孕,崩漏,带下等疾病属虚寒证型者。",6
275,"用于湿热下注,白带过多,盆腔炎见以上症候者经止带",6
276,"养血柔肝,理气调经。",6
277,"10、如正在使用其他药品,使用本品前请咨询医师或药师。",6
278,2.服本药时不宜同时服用人参或其制剂。,6
279,"养阴润肺,化痰止咳。",6
280,"7.服药2周症状无缓解,应去医院就诊。",6
281,12.请将本品放在儿童不能接触的地方。,6
282,铝塑包装。,6
283,8、本品性状发生改变时禁止使用。,6
284,9、请将本品放在儿童不能接触的地方。,6
285,2.忌食辛辣食物。,6
286,3、带下清稀者不宜选用。,6
287,"本品为胶囊剂,内容物为棕褐色粉末;",6
288,"补肾益气,化瘀通淋。",6
289,"通调气血,止痛调经。",6
290,"3.香附能提高痛阈、镇痛、松弛子宫平滑肌,抑制子宫收缩,弛缓其紧张度和抑制金黄色葡萄球菌,某些真菌生长,并具有雌激素样作用。",6
291,广州白云山中一药业有限公司,6
292,"气微香,味苦、微咸。",6
293,11.请将此药品放在儿童不能接触的地方。,6
294,"5.按照用法用量服用,长期服用应向医师咨询。",6
295,"4.伴有赤带者,应去医院就诊。",6
296,"本品可嚼服,也可分份吞服。",6
297,4.本品宜饭前服用。,6
298,"疏肝理气,活血化瘀,消散乳块。",6
299,"一次34片,一日3次。",6
300,本品为棕褐色的液体;,6
301,"7、服药2周症状无缓解,应去医院就诊。",6
302,"5、治疗痛经,宜在经前35天开始服药,连服1周。",6
303,山东步长神州制药有限公司,6
304,"4、平素月经正常,突然出现月经过少,或经期错后,或阴道不规则出血或带下伴阴痒,或赤带者应去医院就诊。",6
305,"补肾壮阳,填精益髓。",6
306,1.孕妇忌服。,6
307,8.儿童必须在成人监护下使用。,6
308,8、本品性状发生改变时禁止使用;,6
309,"口服,一次9克,一日2次。",6
310,详见说明书。,6
311,"补气养血,调经散寒。",6
312,"7.按用法用量服用,长期服用应向医师咨询。",6
313,天津中新药业集团股份有限公司达仁堂制药厂,6
314,月经期间或患有其它出血症的患者禁用本品。,6
315,抗菌消炎。,6
316,2.方中主药艾叶具有抑制纤溶、抗炎等作用。,6
317,"本品为胶囊剂,内容物为棕褐色的颗粒;",6
318,孕妇慎服。,6
319,"补气血,调月经。",6
320,"3[unused1]毒理试验表明:该药安全可靠,副作用,临床服用剂量均为安全。",6
321,"1.现代药理研究证明,方中大部分药物具有镇痛、抑制子宫平滑肌收缩,松弛其紧张度的功能。",6
322,"用于妇人宿有瘕块,或血瘀经闭,行经腹痛,产后恶露不尽",6
323,0.4g24粒盒,6
324,味涩、微苦。,6
325,阴道给药。,6
326,"口服,一次6片,一日3次。",6
327,"8.如正在服用其他药品,使用本品前请咨询医师或药师。",6
328,"8.对本药过敏者禁用,过敏体质者慎用。",6
329,"口服偶有头昏、头晕、恶心,停药后消失。",6
330,"5.严格按照用法用量服用,服药2周症状无缓解,应去医院就诊。",6
331,"4.平素月经正常,突然出现月经过少,或经期错后,或阴道不规则出血,或带下伴阴痒,或赤带者应去医院就诊。",6
332,"12.如正在服用其他药品,使用本品前请咨询医师或药师。",6
333,片剂(糖衣),6
334,6g10袋盒,6
335,10ml10支盒,6
336,4、青春期少女及更年期妇女应在医师指导下服用。,6
337,9g10丸盒,6
338,"清热解毒,燥湿止带,杀虫止痒。",5
339,"国家医保目录(乙类),外用药物",5
340,温肾固精。,5
341,"5、平素月经正常,突然出现月经量少,或月经错后,或阴道不规则出血应去医院就诊。",5
342,1.镇痛作用;,5
343,"不宜喝茶和吃萝卜,以免影响药效。",5
344,"气香,味甜。",5
345,用于经期腹痛及因寒冷所致的月经失调,5
346,补肾益精。,5
347,江西药都仁和制药有限公司,5
348,"3.带下明显异常,或伴有其它疾病者,应去医院诊治。",5
349,哈药集团世一堂制药厂,5
350,"大蜜丸一次1丸,一日2次。",5
351,"6.服药3天症状无缓解,应去医院就诊。",5
352,"调经养血,理气止痛。",5
353,"4.平素月经正常,突然出现月经量少,或月经错后,或阴道不规则出血应去医院就诊。",5
354,密封保存。,5
355,每丸重6g,5
356,"6.服药后痛经不减轻,或重度痛经者,应到医院诊治。",5
357,"用于更年期潮热汗出,眩晕耳鸣,烦躁失眠",5
358,"对本品过敏者禁用,过敏体质者慎用。",5
359,"开水冲服,一次1袋,一日3次。",5
360,"一次5片,一日3次。",5
361,"益气养血,活血调经。",5
362,"7、服药二周症状无改善,应去医院就诊。",5
363,江西济民可信药业有限公司,5
364,2.外感或实热内盛者不宜服用。,5
365,"口服,一次3片,一日3次。",5
366,5.药品性状发生改变时禁止服用。,5
367,"偶有腹泻现象,一般不影响继续治疗。",5
368,"2.服药期间要保持情绪乐观,切忌生气恼怒。",5
369,"6、按照用法用量服用,长期服用应向医师咨询。",5
370,"口服,一次6粒,一日2次;",5
371,吉林敖东集团力源制药股份有限公司,5
372,本方由四物汤加味而成。,5
373,10.请将本品放在儿童不能接触的地方;,5
374,每粒装0.45g,5
375,"一次6丸,一日12次。",5
376,"8.服药2周症状无缓解,应去医院就诊。",5
377,"口服,经期或经前5天一次35粒,一日3次,经后可继续服用,一次35粒,一日23次。",5
378,"3.气血亏虚所致的痛经、月经失调不宜选用,其表现为经期或经后小腹隐痛喜按。",5
379,"4.对本药过敏者禁用,过敏体质者慎用。",5
380,安康正大制药有限公司,5
381,"现代药理研究证实,四物汤具有促进人体细胞免疫反应,抑制变态反应性炎证,促进网织红细胞成熟,提高机体抵抗力。",5
382,"5、平素月经正常,突然出现月经过少,或经期错后,或阴道不规则出血者应去医院就诊。",5
383,"用于湿热下注所致白带异常,盆腔炎",5
384,"气微,味苦、咸。",5
385,"养血调经止痛,用于月经不调,经期腹痛",5
386,"2.服药1周症状无改善,或服药后症状加重者,应到医院诊治。",5
387,"重症一次8粒,一日3次。",5
388,每粒装0.25g,5
389,江西天施康中药股份有限公司,5
390,昧甜、微苦。,5
391,"4.服药2周症状无缓解,应去医院就诊。",5
392,片剂(泡腾),5
393,每丸重9克,5
394,"气微,味微苦。",5
395,6.按照用法用量服用。,5
396,"6.对本药过敏者禁用,过敏体质者慎用。",5
397,2.抗炎作用。,5
398,"7.对本品过敏者禁用,过敏体质者慎用;",5
399,"5.伴有尿频、尿急、尿痛者,应去医院就诊。",5
400,"5.对本药过敏者禁用,过敏体质者慎用。",5
401,"热水冲服,一次2袋,一日23次。",5
402,10、请将本品放在儿童不能接触的地方;,5
403,每袋装6g,5
404,3.少女、孕妇、绝经后患者均应在医师指导下服用。,5
405,"铝塑泡罩包装,12粒3板盒。",5
406,"此外,本丸还有降低肠管紧张性,拮抗乙酰胆碱的作用,临床用治胃痛,慢性肠炎,尿频等病证有一定的疗效。",5
407,"6、服药后痛经不减轻,或重度痛经者,应到医院诊治。",5
408,3、经行有块伴腹痛拒按或胸胁胀痛者不宜选用。,5
409,孕妇及月经期禁用。,5
410,"6.各种流产后腹痛伴有阴道出血,服药1周无效者应去医院就诊。",5
411,"理气补血,暖宫调经。",5
412,4.带下清稀者不宜选用。,5
413,用于血虚肝郁所致月经不调、痛经、月经前后诸证,5
414,9、本品性状发生改变时禁止使用;,5
415,2.糖尿病患者慎用。,5
416,上海海虹实业(集团)巢湖今辰药业有限公司,5
417,"养血舒肝,调经止痛。",5
418,青春期少女及更年期妇女应在医师指导下服用。,5
419,1、忌食寒凉、生冷食物;,5
420,阴道用药。,5
421,5g6袋,5
422,"4、脾胃虚弱,尤其是脾胃虚寒者慎用;",5
423,消化系统疾病,5
424,3.脾虚便溏者慎用。,5
425,重庆科瑞南海制药有限责任公司,5
426,"补肾壮阳,益气养血。",5
427,6.请将此药品放在儿童不能接触的地方。,5
428,气香。,5
429,11、请将本品放在儿童不能接触的地方。,5
430,3、感冒时不宜服用本药。,5
431,"5.痛经并伴有其他妇科疾病者,应去医院就诊。",5
432,"3.治疗期间忌房事,配偶如有感染应同时治疗。",5
433,本品为棕色至棕褐色的颗粒;,5
434,小儿酌减。,5
435,吉林一正药业集团有限公司,5
436,每袋装5g,5
437,1、忌辛辣、生冷食物。,5
438,5g10袋,4
439,本品为黄棕色至棕褐色的颗粒;,4
440,"一次3片,一日3次。",4
441,"一次46粒,一日3次。",4
442,3.外感或实热内盛者不宜服用。,4
443,24个月,4
444,"4.老人、少女、或长期服药、超剂量服药者,均应在医师指导下。",4
445,"1.发现药栓变软,切勿挤压,可在用药前将药栓放入冷水或冰箱内冷藏5-10分钟,即可使用,药栓外形改变不会影响疗效。",4
446,给药时应洗净双手或戴指套或手套。,4
447,"活血破瘀,通经消痞。",4
448,吉林省天泰药业股份有限公司,4
449,"一次4片,一日4次。",4
450,太极集团四川绵阳制药有限公司,4
451,"本品为前列腺素合成抑制剂,具有抗炎、镇痛作用。",4
452,3.孕妇慎用。,4
453,"清热解毒,健脾除湿,通络活血。",4
454,"本品为薄膜衣片,除去包衣后显棕黄色至棕褐色;",4
455,"能降低血瘀模型大鼠的全血黏度、血浆黏度、血细胞比容,增大小鼠耳廓微血管管径,增加毛细血管网交点数。",4
456,本品为黑褐色的水蜜丸;,4
457,"活血止痛,软坚散结。",4
458,"疏肝解郁,调理冲任。",4
459,"补气养血,益肾助脾。",4
460,广东罗浮山国药股份有限公司,4
461,用于癥瘕积聚、痛经闭经、赤白带下及慢性盆腔炎等,4
462,"如与其他药物同时使用可能发生药物相互作用,详情请咨询医师或药师。",4
463,0.35g36粒盒,4
464,"6.服后偶见头晕,多可自行消失,不必停药。",4
465,滋阴补肾。,4
466,"临床前药效学试验结果显示,本品可减少醋酸和催产素所致小鼠扭体次数,抑制巴豆油所致小鼠耳肿胀,抑制大鼠正常子宫平滑肌收缩和催产素所致大鼠子宫平滑肌强烈收缩。",4
467,"清热利湿,散结祛瘀。",4
468,"滋阴补肾,填精益髓。",4
469,丸剂(包衣浓缩水丸),4
470,味甘。,4
471,温肾助阳。,4
472,"补肾,固精。",4
473,"气香,味甜、微苦。",4
474,重庆希尔安药业有限公司,4
475,"本品对巴豆油所致小鼠耳肿胀和角叉菜所致大鼠足趾肿胀均有抑制作用能缩短小鼠凝出血时间,对热板及醋酸小鼠致痛有镇痛作用对金黄色葡萄球菌、大肠杆菌、乙型链球菌和白色念珠菌有抑菌作用。",4
476,"本品为胶囊剂,内容物为棕褐色的粉末;",4
477,"8.按用法用量服用,长期服用应向医师咨询。",4
478,"一次5粒,一日23次。",4
479,"一次5粒,一日3次。",4
480,"6.服药二周或服药期间症状无改善,或症状加重,或出现新的严重症状,应立即停药并去医院就诊。",4
481,"局部应用,其有效成份可穿透皮肤到达炎症区域,缓解急、慢性炎症反应,对因外伤引起的炎症,本品可使炎性肿痛减轻,疼痛缓解。",4
482,10袋盒。,4
483,"3.伴有月经紊乱或其他疾病如:高血压、心脏病、糖尿病、肾病等患者,应在医师指导下服用。",4
484,48个月。,4
485,"气微香,味甜。",4
486,陕西健民制药有限公司,4
487,江西民济药业有限公司,4
488,"4.眩晕症状较重者,应去医院就诊。",4
489,1.孕妇禁用。,4
490,"用淡盐开水送服,水蜜丸一次6克,一日3次。",4
491,"一次24粒,一日3次。",4
492,"清热利湿,化瘀止痛。",4
493,5g10袋盒。,4
494,"活血逐瘀,祛寒止痛。",4
495,偶见头晕、药疹及轻度消化道反应。,4
496,3、本品宜饭前服用。,4
497,"清热解毒,燥湿止带,祛瘀止痛。",4
498,养血调经。,4
499,"口服,一次5粒,一日3次。",4
500,"用于先兆流产,习惯性流产及因流产引起的不孕症",4
501,凉血止血。,4
502,3.脾虚大便溏者慎用。,4
503,"补肾壮阳,生髓益精。",4
504,"6.服药二周症状无改善,应去医院就诊。",4
505,对本药品过敏者禁用。,4
506,9、请将本品放在儿童不能接触的地方;,4
507,"3.气血亏虚所致的痛经不宜选用,其表现为经期或经后小腹隐痛喜按。",4
508,"调经活血,行气止痛。",4
509,4.高血压、心脏病、肝病、糖尿病、肾病等慢性病患者应在医师指导下服用。,4
510,本品为棕褐色的大蜜丸;,4
511,兰州佛慈制药股份有限公司,4
512,1.忌不易消化食物。,4
513,孕妇禁服。,4
514,"用于产后恶露不行,少腹疼痛,也可用于上节育环后引起的阴道流血,月经过多",4
515,"4.脾胃虚弱,尤其是脾胃虚寒者慎用;",4
516,经期、孕期妇女禁用。,4
517,"口服,一次10毫升,一日3次。",4
518,"清热解毒,凉血通淋。",4
519,"5.按照用法用量服用,小儿应在医师指导下服用。",4
520,6g30袋盒。,4
521,天津中新药业集团股份有限公司乐仁堂制药厂,4
522,7天为一疗程。,4
523,四川宝兴制药有限公司,4
524,"开水冲服,一次15克,一日2次。",4
525,气微香、味微甘。,4
526,4.未婚妇女不宜使用;,4
527,"用于月经量少、后错,经期腹痛",4
528,7.如有生育要求(未避孕)宜经行当日开始服药。,4
529,"补肾壮阳,生津。",4
530,"4.必须将药栓推入阴道深部后穹窿(阴道口一手指深)、静卧一段时间(1-2小时),以免药物融化溢出体外引起外阴瘙痒、灼热及红肿。",4
531,本品为黑色的水蜜丸;,4
532,6g30袋,4
533,山东宏济堂制药集团有限公司,4
534,成都森科制药有限公司,4
535,修正药业集团股份有限公司,4
536,"2.外用药,禁口服。",4
537,"气微香,味甜、微苦、麻。",4
538,"清热利湿,祛瘀止痛,收敛止带。",4
539,"2、患有其他疾病者,应在医师指导下服用。",4
540,"密闭,防潮。",4
541,长期服用应向医师咨询。,4
542,北京勃然制药有限公司,4
543,10、本品性状发生改变时禁止使用。,4
544,"补血活血,调经止痛。",4
545,"活血化瘀,清利湿热。",4
546,通化茂祥制药有限公司,4
547,"6、对本品过敏者禁用,过敏体质者慎用。",4
548,本品为深褐色至黑色的水蜜丸;,4
549,"理气化瘀,软坚散结。",4
550,"9.注意卫生,防止重复感染。",4
551,广西康华药业有限责任公司,4
552,"收敛肺气,止咳定喘。",4
553,甘肃河西制药有限责任公司,4
554,"如发生少见之过敏反应,应立即停止用药。",4
555,贵阳新天药业股份有限公司,4
556,"7.按照用法用量服用,服药期间症状加重,或兼见其他症状,应及时去医院就诊。",4
