index,text
每丸重9g,26
中药保护品种二级,25
"9.对本品过敏者禁用,过敏体质者慎用。",25
"5.服药2周症状无缓解,应去医院就诊。",25
片剂(薄膜衣),24
10.本品性状发生改变时禁止使用。,24
8.请将本品放在儿童不能接触的地方。,24
"9.如正在使用其他药品,使用本品前请咨询医师或药师。",23
味微苦。,22
2.感冒时不宜服用。,22
1.忌辛辣、生冷食物。,22
"一次1袋,一日2次。",21
医师和药师可能对服用同仁乌鸡白凤丸(口服液)应注意事项具有更多的信息。,21
1.忌食寒凉、生冷食物。,20
9.儿童必须在成人监护下使用。,20
3.本品宜饭前服用。,20
"服药期间避免与生冷、辛辣、荤腥油腻、不易消化食品同用,戒烟酒,以防助湿化热,加重病情。",19
"患有其他疾病者,应在医师指导下服用。",19
"本药内所含人参、白芍,反藜芦,忌与含藜芦的药物同用。",18
子宫疾病用药,18
如有生育要求应在医师指导下服用。,18
本品为棕黄色至棕褐色的颗粒;,18
"服药期间不宜喝茶和吃萝卜,不宜同时服用五灵脂、皂荚或其制剂。",17
"5.对本品过敏者禁用,过敏体质者慎用。",17
"如果服用任何其他药品请告知医师或药师,包括任何从药房、超市或保健品商店购买的非处方药品。",17
6.本品性状发生改变时禁止使用。,17
糖尿病患者禁服。,17
1.忌油腻食物。,17
"本药内所含甘草,反甘遂、大戟、海藻、芫花,忌与含甘遂、大戟、海藻、芫花的药物同用。",16
"7.按照用法用量服用,服药过程中出现不良反应应停药,并向医师咨询。",16
"8、对本品过敏者禁用,过敏体质者慎用。",15
"4.平素月经量正常,突然出现经量少,须去医院就诊。",15
36个月。,15
5.青春期少女及更年期妇女应在医师指导下服药。,15
"清热利湿,和血通络,调经止带。",15
"1.忌食辛辣,少进油腻。",14
"2.患有其他疾病者,应在医师指导下服用。",14
"情况紧急可先停止使用,必要时到医院就诊。",14
"非处方药物(乙类),国家医保目录(乙类)",14
"如与其他药物同时使用可能会发生药物相互作用,详情请咨询医师或药师",14
1.忌食辛辣、生冷食物。,14
尚未明确。,14
"11、如正在使用其他药品,使用本品前请咨询医师或药师。",14
"气微,味苦。",13
"一次4粒,一日3次。",13
呼吸道疾病,13
9、本品性状发生改变时禁止使用。,13
1.忌食辛辣、生冷、油腻食物。,13
"7.服药1个月症状无缓解,应去医院就诊。",13
每粒装0.3g,13
"非处方药物(甲类),中药保护品种二级",13
孕妇忌用。,13
"口服,一次3粒,一日3次。",13
"口服,一次1丸,一日2次。",13
"6.服药1个月症状无缓解,应去医院就诊。",13
"一次6克,一日2次。",13
"2.气血两虚引起的月经量少,色淡质稀,伴有头晕心悸,疲乏无力等不宜选用本药。",13
本品为黑褐色至黑色的水蜜丸;,13
"清湿热,止带下。",13
"一次3粒,一日3次。",12
3.有高血压、心脏病、肾病、糖尿病或正在接受其他治疗的患者均应在医师指导下服用。,12
"国家基本药物目录,中药保护品种二级",12
"如正在服用其他药品,使用本品前请咨询医师或药师。",12
目前尚未检索到本品的不良反应。,12
丸剂(浓缩丸),12
月经量多者不宜服用。,12
"5.服药后痛经不减轻,或重度痛经者,应到医院诊治。",12
"非处方药物(甲类),国家医保目录(甲类),国家基本药物目录",12
"实验证明对金黄色葡萄球菌,溶血性链球菌和皮肤真菌有抑制作用。",12
味甘、微苦。,12
请遵医嘱。,12
"益母草有行气活血,加强子宫收缩作用。",12
川芎、鸡血藤有活血瘀作用。,12
"口服,一次4片,一日3次。",12
10.儿童必须在成人监护下使用。,12
"一次1丸,一日2次。",12
6.外阴白色病变、糖尿病所致的瘙痒不宜使用。,12
"气香,味苦。",11
"一次6片,一日3次。",11
"6.伴有赤带者,应去医院就诊。",11
"在服用本品期间,如果感到不适,要尽快告诉医师或药师。",11
8.药品性状发生改变时禁止服用。,11
"口服,一次4粒,一日3次。",11
1.经期忌生冷饮食、不宜洗凉水澡。,11
6g10袋,11
8.请将此药品放在儿童不能接触的地方。,11
陕西东泰制药有限公司,11
带下伴阴痒或有赤带者应去医院就诊。,11
10、请将本品放在儿童不能接触的地方。,11
"车前草,赤勺有活血通瘀去湿作用,狗脊有补益肝肾,强腰膝,除风湿,利关节的作用。",11
"养血,调经,止痛。",11
密封。,11
"气香,味微苦。",11
味甜。,11
"6.按照用法用量服用,长期服用应向医师咨询。",11
7.药品性状发生改变时禁止服用。,11
3.感冒时不宜服用本药。,10
6g12袋,10
"11.如正在服用其他药品,使用本品前请咨询医师或药师。",10
"气微香,味微苦。",10
"对造血干细胞增值有显著的刺激作用,并能促进红系细胞分化。",10
"孕妇忌服,儿童禁用。",10
"1.本品为外用药,禁止内服。",10
3.抗血小板凝聚及抗血栓作用:新生化颗粒能抑制血小板聚集促进剂产生。,10
"清热燥湿,杀虫止痒。",10
"冲洗药液后,子宫活动仍可恢复到正常状态。",10
4.月经过多者不宜服用本药。,10
"新生化颗粒同时还能抑制补体与红细胞膜结合,降低补体溶血功能。",10
"伴有赤带者,应去医院就诊。",10
方中忍冬藤、蒲公英有清热解毒作用。,10
"7.服药二周症状无改善,应去医院就诊。",10
粒单细胞、红系祖细胞的产率均有明显升高作用。,10
皮肤破溃处禁用。,10
"实验室研究表明,新生化颗粒能明显增加大鼠离体子宫的收缩张力、收缩频率和收缩振幅,且呈剂量依赖性关系。",10
"一次4片,一日3次。",10
"5.平素月经正常,突然出现月经量少,或月经错后,或阴道不规则出血应去医院就诊。",10
每袋装15g,9
3.经行有块伴腹痛拒按或胸胁胀痛者不宜选用。,9
补肾壮阳。,9
"5.改善微循环:增加子宫毛细血管流量,促进子宫修复。",9
或将药丸加适量开水溶后服。,9
5.本品宜饭前服用。,9
陕西康惠制药股份有限公司,9
6.药品性状发生改变时禁止服用。,9
"6.各种流产后腹痛伴有阴道出血,服药一周无效者应去医院就诊。",9
12袋盒。,9
1、忌食辛辣、生冷、油腻食物。,9
"9.如正在服用其他药品,使用本品前请咨询医师或药师。",9
10.请将此药品放在儿童不能接触的地方。,9
4.高血压、心脏病、肝病、肾病等慢性病患者应在医师指导下服用。,9
3.切勿接触眼睛、口腔等黏膜处。,9
7.请将本品放在儿童不能接触的地方。,9
丸剂(水丸),9
"2.镇痛:实验室研究表明,新生化颗粒能明显减少大鼠扭体次数。",9
"味甜,微苦。",9
"8.如正在使用其他药品,使用本品前请咨询医师或药师。",9
"国家医保目录(乙类),中药保护品种二级",9
"6.服药2周症状无缓解,应去医院就诊。",9
24个月。,9
气芳香。,9
"血液流变学表明,新生化颗粒通过降低血浆纤维蛋白原浓度,增加血小板细胞表面电荷,促进细胞解聚,降低血液粘度,达到抗血栓形成的作用。",9
4.造血和抗贫血作用:新生化颗粒能促进血红蛋白和红细胞的生成。,9
每支装10ml,9
从而使瘀血不易凝固而利于排出。,9
"口服,一次6克,一日2次。",9
9.药品性状发生改变时禁止服用。,9
"体外试验表明,新生化颗粒对痢疾杆菌、大肠杆菌、绿脓杆菌、变形杆菌和金黄色葡萄球菌均有很好的抑菌作用。",8
2、感冒发热病人不宜服用。,8
2、感冒时不宜服用。,8
"一次4~6片,一日3次。",8
"1.收缩子宫:新生化颗粒使DNA含量和子宫利用葡萄糖能力增加,促进子宫蛋白质合成及子宫增生,以促进子宫收缩,从而起到止血并排出瘀血的目的。",8
"口服,一次6g,一日2次。",8
外用。,8
"7.带下伴血性分泌物,或伴有尿频、尿急、尿痛者,应去医院就诊。",8
用于血虚气滞、下焦虚寒所致的月经不调、痛经,8
儿童禁用。,8
"5.未婚或绝经后患者,应在医师指导下使用。",8
"4.治疗期间忌房事,配偶如有感染应同时治疗。",8
本品为棕褐色的水蜜丸;,8
6.抗炎:新生化颗粒有很好的抗炎抑菌作用。,8
3、有高血压、心脏病、肝病、糖尿病、肾病等慢性病严重者应在医师指导下服用。,8
活血、祛瘀、止痛。,8
长春海外制药集团有限公司,8
"理气,活血,止痛。",8
"开水冲服,一次1袋,一日2次。",8
"一次9克,一日2次。",8
孕妇及哺乳期妇女禁用。,8
"清热解毒,消肿散结。",8
味苦、辛。,8
北京同仁堂科技发展股份有限公司制药厂,8
"本品为薄膜衣片,除去包衣后显棕色至棕褐色;",8
2.感冒时不宜服用本药。,7
云南白药集团股份有限公司,7
山东东阿阿胶股份有限公司,7
7.儿童必须在成人监护下使用。,7
9.请将此药品放在儿童不能接触的地方。,7
注意保暧。,7
"片剂(糖衣,薄膜衣)",7
1.孕妇慎用。,7
本品不宜长期服用。,7
"4.痛经伴月经失调或伴有其他疾病者,应在医师指导下服用。",7
2.有高血压、心脏病、肝病、糖尿病、肾病等慢性病严重者应在医师指导下服用。,7
"4.重度痛经者或服药后痛经不减轻,应去医院就诊。",7
山西华康药业股份有限公司,7
1、忌食辛辣、生冷食物。,7
0.4g36粒盒,7
"13.如正在使用其他药品,使用本品前请咨询医师或药师。",7
"气微,味甘而后苦、辛。",7
"10.如正在服用其他药品,使用本品前请咨询医师或药师。",7
"益气养血,理气活血,止痛。",7
1.忌食辛辣、少进油腻。,7
西安碑林药业股份有限公司,7
"7、对本品过敏者禁用,过敏体质者慎用。",7
"气芳香,味微苦。",7
"如与其他药物同时使用可能会发生药物相互作用,详情其咨询医师或药师。",7
"一次15克,一日2次。",7
2.孕妇慎用。,7
9g10丸,7
"2.凡脾胃虚弱,呕吐泄泻,腹胀便溏、咳嗽痰多者慎用。",7
3.带下清稀者不宜选用。,7
"非处方药物(甲类),外用药物",7
本品为黄棕色至黄褐色的颗粒;,7
"7、对本品过敏者禁用,过敏体质者慎用;",7
3.感冒病人不宜服用。,7
"气微香,味苦。",7
6.有生育要求(未避孕)宜经行当日起服用至痛经缓解。,7
7.请将此药品放在儿童不能接触的地方。,7
"口服,一次5片,一日3次。",7
"一次1袋,一日3次。",7
儿童、孕妇禁用;,7
2.本品宜饭前服用。,7
"补气血,调经。",7
15g10袋,7
"8.对本药过敏者禁用,过敏体质者慎用。",6
"4.平素月经正常,突然出现月经过少,或经期错后,或阴道不规则出血,或带下伴阴痒,或赤带者应去医院就诊。",6
"补肾益气,化瘀通淋。",6
8、本品性状发生改变时禁止使用;,6
月经期间或患有其它出血症的患者禁用本品。,6
"补气血,调月经。",6
8.儿童必须在成人监护下使用。,6
抗菌消炎。,6
"补气养血,调经散寒。",6
"8.如正在服用其他药品,使用本品前请咨询医师或药师。",6
8、本品性状发生改变时禁止使用。,6
"活血,化瘀,消癥。",6
2.方中主药艾叶具有抑制纤溶、抗炎等作用。,6
9g10丸盒,6
3、带下清稀者不宜选用。,6
"口服偶有头昏、头晕、恶心,停药后消失。",6
"口服,一次9克,一日2次。",6
2.服本药时不宜同时服用人参或其制剂。,6
山东步长神州制药有限公司,6
"5、治疗痛经,宜在经前3~5天开始服药,连服1周。",6
"4、平素月经正常,突然出现月经过少,或经期错后,或阴道不规则出血或带下伴阴痒,或赤带者应去医院就诊。",6
铝塑包装。,6
"本品为胶囊剂,内容物为棕褐色的颗粒;",6
"用于湿热下注,白带过多,盆腔炎见以上症候者经止带",6
"口服,一次6片,一日3次。",6
"7.服药二周或服药期间症状无改善,或症状加重,或出现新的严重症状,应立即停药并去医院就诊。",6
"4.伴有赤带者,应去医院就诊。",6
"3.香附能提高痛阈、镇痛、松弛子宫平滑肌,抑制子宫收缩,弛缓其紧张度和抑制金黄色葡萄球菌,某些真菌生长,并具有雌激素样作用。",6
味涩、微苦。,6
"7.服药2周症状无缓解,应去医院就诊。",6
0.4g24粒盒,6
4.本品宜饭前服用。,6
"8、对本品过敏者禁用,过敏体质者慎用;",6
60个月。,6
"7.按用法用量服用,长期服用应向医师咨询。",6
阴道给药。,6
"用于妇人宿有瘕块,或血瘀经闭,行经腹痛,产后恶露不尽",6
"5.严格按照用法用量服用,服药2周症状无缓解,应去医院就诊。",6
片剂(糖衣),6
"4.故临床主要用于治疗妇女月经不调,痛经,宫寒不孕,崩漏,带下等疾病属虚寒证型者。",6
"疏肝理气,活血化瘀,消散乳块。",6
11.请将此药品放在儿童不能接触的地方。,6
12.请将本品放在儿童不能接触的地方。,6
4、青春期少女及更年期妇女应在医师指导下服用。,6
"1.现代药理研究证明,方中大部分药物具有镇痛、抑制子宫平滑肌收缩,松弛其紧张度的功能。",6
"3[unused1]毒理试验表明:该药安全可靠,副作用,临床服用剂量均为安全。",6
本品为棕褐色的液体;,6
广州白云山中一药业有限公司,6
"5.按照用法用量服用,长期服用应向医师咨询。",6
"养阴润肺,化痰止咳。",6
"补肾壮阳,填精益髓。",6
"气微香,味苦、微咸。",6
4.孕妇慎用。,6
9、请将本品放在儿童不能接触的地方。,6
2.忌食辛辣食物。,6
"养血柔肝,理气调经。",6
10ml10支盒,6
详见说明书。,6
"12.如正在服用其他药品,使用本品前请咨询医师或药师。",6
"本品可嚼服,也可分份吞服。",6
孕妇慎服。,6
"通调气血,止痛调经。",6
1.孕妇忌服。,6
天津中新药业集团股份有限公司达仁堂制药厂,6
"7、服药2周症状无缓解,应去医院就诊。",6
"10、如正在使用其他药品,使用本品前请咨询医师或药师。",6
"本品为胶囊剂,内容物为棕褐色粉末;",6
"一次9克,一日1次;",6
6g10袋盒,6
"5、平素月经正常,突然出现月经过少,或经期错后,或阴道不规则出血者应去医院就诊。",5
1、忌食寒凉、生冷食物;,5
"6.服药3天症状无缓解,应去医院就诊。",5
"气香,味甜。",5
"5、平素月经正常,突然出现月经量少,或月经错后,或阴道不规则出血应去医院就诊。",5
"5.痛经并伴有其他妇科疾病者,应去医院就诊。",5
重庆科瑞南海制药有限责任公司,5
片剂(泡腾),5
每袋装5g,5
1、忌辛辣、生冷食物。,5
"5.对本药过敏者禁用,过敏体质者慎用。",5
"气微,味苦、咸。",5
吉林一正药业集团有限公司,5
"用于更年期潮热汗出,眩晕耳鸣,烦躁失眠",5
"补肾壮阳,益气养血。",5
江西济民可信药业有限公司,5
2.外感或实热内盛者不宜服用。,5
2.抗炎作用。,5
"铝塑泡罩包装,12粒3板盒。",5
江西药都仁和制药有限公司,5
5g6袋,5
阴道用药。,5
每粒装0.25g,5
9、本品性状发生改变时禁止使用;,5
"6、服药后痛经不减轻,或重度痛经者,应到医院诊治。",5
"3.带下明显异常,或伴有其它疾病者,应去医院诊治。",5
上海海虹实业(集团)巢湖今辰药业有限公司,5
"口服,一次6粒,一日2次;",5
"用于湿热下注所致白带异常,盆腔炎",5
1.镇痛作用;,5
本方由四物汤加味而成。,5
"2.服药1周症状无改善,或服药后症状加重者,应到医院诊治。",5
"重症一次8粒,一日3次。",5
3.少女、孕妇、绝经后患者均应在医师指导下服用。,5
"一次3~4片,一日3次。",5
"8.服药2周症状无缓解,应去医院就诊。",5
5.药品性状发生改变时禁止服用。,5
"4.对本药过敏者禁用,过敏体质者慎用。",5
温肾固精。,5
每粒装0.45g,5
用于经期腹痛及因寒冷所致的月经失调,5
消化系统疾病,5
"偶有腹泻现象,一般不影响继续治疗。",5
"5.伴有尿频、尿急、尿痛者,应去医院就诊。",5
"养血调经止痛,用于月经不调,经期腹痛",5
11、请将本品放在儿童不能接触的地方。,5
昧甜、微苦。,5
"7、服药二周症状无改善,应去医院就诊。",5
每丸重9克,5
"大蜜丸一次1丸,一日2次。",5
小儿酌减。,5
"口服,经期或经前5天一次3~5粒,一日3次,经后可继续服用,一次3~5粒,一日2~3次。",5
"调经养血,理气止痛。",5
3、经行有块伴腹痛拒按或胸胁胀痛者不宜选用。,5
2.糖尿病患者慎用。,5
"4.服药2周症状无缓解,应去医院就诊。",5
"7.对本品过敏者禁用,过敏体质者慎用;",5
"益气养血,活血调经。",5
每袋装6g,5
3、感冒时不宜服用本药。,5
"此外,本丸还有降低肠管紧张性,拮抗乙酰胆碱的作用,临床用治胃痛,慢性肠炎,尿频等病证有一定的疗效。",5
"不宜喝茶和吃萝卜,以免影响药效。",5
3.脾虚便溏者慎用。,5
吉林敖东集团力源制药股份有限公司,5
补肾益精。,5
安康正大制药有限公司,5
孕妇及月经期禁用。,5
哈药集团世一堂制药厂,5
"养血舒肝,调经止痛。",5
每丸重6g,5
10.请将本品放在儿童不能接触的地方;,5
"6.对本药过敏者禁用,过敏体质者慎用。",5
10、请将本品放在儿童不能接触的地方;,5
"一次6丸,一日1~2次。",5
"一次5片,一日3次。",5
"开水冲服,一次1袋,一日3次。",5
"气微,味微苦。",5
"3.治疗期间忌房事,配偶如有感染应同时治疗。",5
气香。,5
"清热解毒,燥湿止带,杀虫止痒。",5
6.请将此药品放在儿童不能接触的地方。,5
"热水冲服,一次2袋,一日2~3次。",5
"4、脾胃虚弱,尤其是脾胃虚寒者慎用;",5
"3.气血亏虚所致的痛经、月经失调不宜选用,其表现为经期或经后小腹隐痛喜按。",5
江西天施康中药股份有限公司,5
"口服,一次3片,一日3次。",5
用于血虚肝郁所致月经不调、痛经、月经前后诸证,5
密封保存。,5
"6、按照用法用量服用,长期服用应向医师咨询。",5
"6.各种流产后腹痛伴有阴道出血,服药1周无效者应去医院就诊。",5
"4.平素月经正常,突然出现月经量少,或月经错后,或阴道不规则出血应去医院就诊。",5
4.带下清稀者不宜选用。,5
"国家医保目录(乙类),外用药物",5
青春期少女及更年期妇女应在医师指导下服用。,5
"2.服药期间要保持情绪乐观,切忌生气恼怒。",5
"对本品过敏者禁用,过敏体质者慎用。",5
本品为棕色至棕褐色的颗粒;,5
"现代药理研究证实,四物汤具有促进人体细胞免疫反应,抑制变态反应性炎证,促进网织红细胞成熟,提高机体抵抗力。",5
6.按照用法用量服用。,5
"理气补血,暖宫调经。",5
"6.服药后痛经不减轻,或重度痛经者,应到医院诊治。",5
吉林省天泰药业股份有限公司,4
味甘。,4
"6、对本品过敏者禁用,过敏体质者慎用。",4
"1.发现药栓变软,切勿挤压,可在用药前将药栓放入冷水或冰箱内冷藏5-10分钟,即可使用,药栓外形改变不会影响疗效。",4
"气微,味甜、微涩。",4
"滋阴补肾,填精益髓。",4
遵义华卫制药有限公司,4
"4.老人、少女、或长期服药、超剂量服药者,均应在医师指导下。",4
偶见头晕、药疹及轻度消化道反应。,4
24个月,4
3.脾虚大便溏者慎用。,4
北京勃然制药有限公司,4
天津中新药业集团股份有限公司乐仁堂制药厂,4
3.外感或实热内盛者不宜服用。,4
"清热解毒,燥湿止带,祛瘀止痛。",4
"4.必须将药栓推入阴道深部后穹窿(阴道口一手指深)、静卧一段时间(1-2小时),以免药物融化溢出体外引起外阴瘙痒、灼热及红肿。",4
312粒板盒。,4
广东罗浮山国药股份有限公司,4
请在医生指导下用药。,4
"口服,一次50粒,一日2次。",4
"清热解毒,凉血通淋。",4
"清热解毒,健脾除湿,通络活血。",4
"一次4片,一日4次。",4
2.服本药时不宜服用人参或其制剂。,4
"能抑制小鼠的自发活动,延长戊巴比妥致小鼠的睡眠时间,还可延长悬挂试验小鼠悬垂不动的时间。",4
"3.气血亏虚所致的痛经不宜选用,其表现为经期或经后小腹隐痛喜按。",4
15g8袋,4
6g30袋盒。,4
"6.服后偶见头晕,多可自行消失,不必停药。",4
"活血化瘀,软坚散结。",4
通药制药集团股份有限公司,4
"本品为前列腺素合成抑制剂,具有抗炎、镇痛作用。",4
"口服,一次4片,一日2次。",4
"调经活血,行气止痛。",4
3.月经前三天最好不用本品。,4
8.本品性状发生改变时禁止使用;,4
"8.按用法用量服用,长期服用应向医师咨询。",4
"2.外用药,禁口服。",4
每粒装0.4g,4
孕妇禁用;,4
"补肾,固精。",4
凉血止血。,4
"用于月经量少、后错,经期腹痛",4
"清热利湿,化瘀止痛。",4
"9.注意卫生,防止重复感染。",4
养血调经。,4
"一次3片,一日3次。",4
"如发生少见之过敏反应,应立即停止用药。",4
"活血化瘀,清利湿热。",4
"非处方药物(甲类),国家医保目录(乙类),国家基本药物目录",4
4.高血压、心脏病、肝病、糖尿病、肾病等慢性病患者应在医师指导下服用。,4
"8.用药7天症状无缓解,应去医院就诊。",4
补气养血。,4
"理气化瘀,软坚散结。",4
本品为棕褐色的大蜜丸;,4
1.孕妇禁用。,4
河南省宛西制药股份有限公司,4
"2、患有其他疾病者,应在医师指导下服用。",4
0.35g36粒盒,4
江西半边天药业有限公司,4
四川宝兴制药有限公司,4
"4.脾胃虚弱,尤其是脾胃虚寒者慎用;",4
3.孕妇慎用。,4
经期、孕期妇女禁用。,4
"一次6克,一日2~3次。",4
5g10袋,4
"可提高热板法小鼠的痛阈值,减少醋酸引起的大鼠扭体次数,延长热水甩尾试验小鼠痛反应潜伏期。",4
"5.按照用法用量服用,小儿应在医师指导下服用。",4
"用淡盐开水送服,水蜜丸一次6克,一日3次。",4
5g10袋盒。,4
"香附、延胡、赤芍能抑制子宫收缩,松弛子宫平滑肌而具有解痉镇痛的功能。",4
"清热利湿,祛瘀止痛,收敛止带。",4
"4.痛经伴有其他疾病者,应在医师指导下服用。",4
已婚妇女月经期及阴道局部有破损者不宜使用。,4
广西壮族自治区花红药业股份有限公司,4
"气微香,味甜。",4
"补肾壮阳,生髓益精。",4
48个月。,4
"口服,一次4片,一日4次。",4
1、忌油腻食物。,4
"一次4~6粒,一日3次。",4
丸剂(包衣浓缩水丸),4
"气香,味甜、微苦。",4
"2.可排黑便,因铁与肠内硫化氢结合生成黑色硫化铁,从而使大便变黑,患者勿须顾虑。",4
"如与其他药物同时使用可能发生药物相互作用,详情请咨询医师或药师。",4
"本品对巴豆油所致小鼠耳肿胀和角叉菜所致大鼠足趾肿胀均有抑制作用能缩短小鼠凝出血时间,对热板及醋酸小鼠致痛有镇痛作用对金黄色葡萄球菌、大肠杆菌、乙型链球菌和白色念珠菌有抑菌作用。",4
"口服,一次10毫升,一日3次。",4
"7、服药1个月症状无缓解,应去医院就诊。",4
"6.服药二周症状无改善,应去医院就诊。",4
"用于先兆流产,习惯性流产及因流产引起的不孕症",4
广西梧州制药(集团)股份有限公司,4
"本品为胶囊剂,内容物为棕褐色的粉末;",4
10袋盒。,4
"口服,一次5粒,一日3次。",4
本品为黄棕色至棕褐色的颗粒;,4
"5.治疗痛经,宜在经前3~5天开始服药,连服1周。",4
"4.眩晕症状较重者,应去医院就诊。",4
4.未婚妇女不宜使用;,4
广西康华药业有限责任公司,4
"能降低血瘀模型大鼠的全血黏度、血浆黏度、血细胞比容,增大小鼠耳廓微血管管径,增加毛细血管网交点数。",4
"气微,味微苦、涩。",4
"活血逐瘀,祛寒止痛。",4
2.忌食辛辣、生冷、油腻食物。,4
重庆希尔安药业有限公司,4
体虚胃寒者不宜食用。,4
"用于产后恶露不行,少腹疼痛,也可用于上节育环后引起的阴道流血,月经过多",4
用于癥瘕积聚、痛经闭经、赤白带下及慢性盆腔炎等,4
本品为深褐色至黑色的水蜜丸;,4
"补气养血,益肾助脾。",4
"一次1片,一日1次。",4
"3.伴有月经紊乱或其他疾病如:高血压、心脏病、糖尿病、肾病等患者,应在医师指导下服用。",4
本品为黑褐色的水蜜丸;,4
"6.按照用法用量服用,小儿应在医师指导下服用。",4
"12、如正在使用其他药品,使用本品前请咨询医师或药师。",4
江西民济药业有限公司,4
"补血活血,调经止痛。",4
孕妇禁服。,4
通化茂祥制药有限公司,4
可抑制大鼠棉球肉芽肿形成和醋酸所致小鼠疼痛扭体反应。,4
甘肃河西制药有限责任公司,4
10、本品性状发生改变时禁止使用。,4
1.忌不易消化食物。,4
"气微香,味甜、微苦、麻。",4
本品为黑色的水蜜丸;,4
"一次5粒,一日3次。",4
"清热利湿,散结祛瘀。",4
"7.按照用法用量服用,服药期间症状加重,或兼见其他症状,应及时去医院就诊。",4
7.如有生育要求(未避孕)宜经行当日开始服药。,4
9、请将本品放在儿童不能接触的地方;,4
"6.服药二周或服药期间症状无改善,或症状加重,或出现新的严重症状,应立即停药并去医院就诊。",4
对本药品过敏者禁用。,4
"补肾壮阳,生津。",4
"临床前药效学试验结果显示,本品可减少醋酸和催产素所致小鼠扭体次数,抑制巴豆油所致小鼠耳肿胀,抑制大鼠正常子宫平滑肌收缩和催产素所致大鼠子宫平滑肌强烈收缩。",4
气微香、味微甘。,4
18个月,4
山东宏济堂制药集团有限公司,4
"一次4片,一日2次。",4
"一次2~4粒,一日3次。",4
滋阴补肾。,4
修正药业集团股份有限公司,4
"非处方药物(乙类),外用药物",4
兰州佛慈制药股份有限公司,4
"局部应用,其有效成份可穿透皮肤到达炎症区域,缓解急、慢性炎症反应,对因外伤引起的炎症,本品可使炎性肿痛减轻,疼痛缓解。",4
"收敛肺气,止咳定喘。",4
太极集团四川绵阳制药有限公司,4
长期服用应向医师咨询。,4
温肾助阳。,4
"密闭,防潮。",4
"本品为薄膜衣片,除去包衣后显棕黄色至棕褐色;",4
"活血破瘀,通经消痞。",4
"开水冲服,一次15克,一日2次。",4
6g30袋,4
成都森科制药有限公司,4
7天为一疗程。,4
丸剂(小蜜丸),4
"一次5粒,一日2~3次。",4
3、本品宜饭前服用。,4
"清热解毒,燥湿杀虫,祛腐生肌。",4
给药时应洗净双手或戴指套或手套。,4
贵阳新天药业股份有限公司,4
"活血止痛,软坚散结。",4
"疏肝解郁,调理冲任。",4
4.孕妇、高血压、糖尿病患者应在医师指导下服用。,4
3.月经过多者不宜服用本药。,4
陕西健民制药有限公司,4
饭后服。,3
龟甲能改善动物ldquo;,3
"健脾舒肝,除湿止带。",3
